"file.name";"x";"y"
"Bestand4";110,187242042311;-269,238511500448
"Bestand4";121,847270553021;-251,748468734383
"Bestand4";124,033525898779;-227,699659931045
"Bestand4";127,677284808376;-207,294610037303
"Bestand4";137,879809755246;-181,059545888207
"Bestand4";151,726093611714;-134,419431845369
"Bestand4";153,183597175553;-73,9330339460637
"Bestand4";158,284859648988;-27,2929199032257
"Bestand4";164,114873904343;12,0596763204188
"Bestand4";147,353582920198;32,4647262141604
"Bestand4";121,118518771102;47,0397618525473
"Bestand4";108,000986696553;67,4448117462888
"Bestand4";73,0209011644249;103,882400842256
"Bestand4";64,2758797813928;106,797407969933
"Bestand4";43,8708298876512;83,4773509485144
"Bestand4";28,5670424673451;55,05603145366
"Bestand4";8,89074435552276;13,5171798842575
"Bestand4";-0,583028809428713;3,31465493738668
"Bestand4";-26,0893411766057;1,12839959162865
"Bestand4";-53,7819088895407;14,2459316661768
"Bestand4";-86,5757390759111;29,549719086483
"Bestand4";-106,252037187733;39,7522440333538
"Bestand4";-137,588363810265;32,4647262141604
"Bestand4";-160,908420831684;15,7034352300155
"Bestand4";-141,960874501781;-17,0903949563549
"Bestand4";-114,997058570766;-50,6129769246447
"Bestand4";-88,0332426397498;-80,4917999833378
"Bestand4";-66,1706891821695;-105,998112350515
"Bestand4";-45,7656392884279;-122,75940333466
"Bestand4";-21,7168304850897;-144,62195679224
"Bestand4";-7,87054662862213;-155,55323352103
"Bestand4";3,06073010016805;-166,48451024982
"Bestand4";26,380787121587;-214,582127856497
"Bestand4";52,6158512706834;-261,950993681254
"Bestand4";82,4946743293764;-275,068525755802
